id,joke
10,幸福并没有必要富裕而有名。只有富裕才有必要。
11,老师问：“你们长大了要做什么啊？” 小明说：“我长大了要挣好多好多钱，开一个榨油场， 然后把油都倒进下水道，让以后得孩子们吃上放心得地沟油。” 老师：“现在得孩子了不得啊。”
12,俩个酒鬼喝得酊酚大醉，深夜回家途中载歌载舞的，笑谈风声。 甲：如果我是哥伦布，发现美洲大陆后，我会一平方一立方的卖掉喝酒。 乙：如果你是哥伦布，会喝……喝酒，又了结婚，你才……发现不了美洲大陆呢！ 甲：不敢肯定吧？ 乙：因为你妻子……妻子就会问：你到哪里去？和谁一起去喝酒？深夜……才回家！ 甲：呕……对！对！对！
13,某日，杰克捡到了三颗魔豆，于是高高兴兴的回家跟爸爸说：爸！你看，我捡到了三颗魔豆！ 杰克的老爸就顺手拿起一颗魔豆在手上瞧啊瞧的，可是看来看去，觉得跟普通碗豆长得一模一样，就以为杰克在骗他。于是，很生气的拿起那颗碗豆往地上用力一摔，骂了声：FUCK YOU！ 没想到碰的一声，满屋子长满了…… 杰克他老爸吓到了，马上拿起第二颗魔豆往地上丢，并且叫：通通不见！！ 于是碰的一声，都不见了，可是好象连杰克跟他爸的也不见了。 这时杰克的老爸更急了，拿起第三颗魔豆往地上丢，叫了声： 一人一支！ 碰的一声，杰克跟他爸的都回来了。 正当他们在庆幸的时候，厨房中传来了杰克妈妈的惊叫声……
14,一个男人深夜敲开了一家丧葬用品店， 说要挑一些东西烧给他惨死的老婆。 店主热情地接待了他，经过仔细挑选， 他最终买了一些元宝和蜡烛。 不过才过了一会儿，他又折了回来，说要换一些冥币。 店主觉得很奇怪，但还是很友好地同意了。 谁知不久男人又敲开了店门，一脸很抱歉的样子， 拿出冥币说想换一些纸衣服。 店主还是保持着耐性，答应了他。 半个小时后，猛烈的敲门声再次惊醒了店主， 他不耐烦地打开了门，发现男人站在门口。 他说他想再把买的东西换成纸房子。 店主终于爆发了，生气地说：“你到底想买什么东西！” “你以为我想啊？！”男人也生气了， 愤然转身对着街对面一个女人喊：“干脆你自己进来选好了！”
15,八岁的拉吉卡第一次上游泳课，一小时以后，他对教练说：我想，今天是不是就练到这里吧？ 为什么呢？ 我实在喝不下去了。
16,猎人见农夫在深山用锄头挖树，于是好奇便疑问农夫，你的职责是耕地怎么有闲心到这深山挖树？ 只见农夫白眼的回答道：这树占我地了，我不把他挖了，你叫我怎么耕地？
17,妇人走进银行，对货款部职员说：「我想跟你谈谈借货。」 「好极了！」银行职员回答，「你能给我们多少钱？」
18,众怕婆者，各受其妻惨毒，纠合十人滴血盟誓，互为声援。正在酬神饮酒，不想众妇闻知，一齐打至盟所。 九人飞跑惊窜，惟一人危坐不动。众皆私相佩服曰：何物乃尔，该让他做大哥。少顷妇散，察之，已惊死矣。
19,我和妹妹一起逛街，中午去吃米线。米线分好几种，普通的4元，过桥米线10元。我就搞不明白，问妹妹：“为啥过桥米线那么贵呢？” 妹妹说：“可能这10块钱里包含过桥费吧！”
20,考试时，一道试题问：《三个火枪手》是谁写的？ 收上来的答卷中对此题的回答有：大仲马，小仲马，千里马。
21,土司指着一架正在转动的水车对甲金说：你能数出我家这架水车上的车筒有几个？ 甲金二话不说，跳进水槽，把沟坎石掀掉，水流平稳，水车就不动了。土司吼道：你为啥整烂我家水槽？ 甲金说：让水车停下来好数车筒呀！说着认真数了起来。土司气得干瞪眼。
22,齐景公往牛山游览，向北登临齐国都城时，突然哭道：人生怎么像奔腾咆哮的流水，离开这美好的山河而死去呢！艾孔、梁丘据听了，也哭泣起来了。晏子却在发笑。齐景公怒问他为何发笑。 晏子回答：如果使贤能的国君，长久地据守齐国，那么，太公、桓公将长久地据有齐国了；如果让勇猛的国君，长久地占有齐国，那么庄公，灵公将要长时间地享有齐国了！那么，您怎么能得到国君的宝座而立身于世呢？而您偏偏独自因为这事流泪伤情，这是不符合仁义道德的。不仁道的国君我看到一个，馅谀的近臣我见到两个，这就是我私自发笑的原因啊！
23,机械化工兵部队的长官，结束了对新补充进来士兵所作的关于部队机械化程度的演说。一位善于思考的新兵说：长官，我发现了一个小小的问题。 什么问题？ 原来50个人做的工作可以分给200名士兵做。
24,医学院里老师在给学生上课，老师说：有一个病人是先天性腿瘸，因为他出生时一条腿比另一条腿短一些。然后，老师问一个学生：约翰，请想一想，如果你遇到这种情况时会怎样？ 约翰认真地想了一想，答道：我想，遇到那种情况，我也会瘸的。
25,隔壁宿舍一个哥们，早上没去上课。 老师点名快到他时，同学给他打电话。 此时只见电话开免提，里面大喊一声：“到！” 老师说：“今天不错，都来全了，我们开始上课。”
26,请记住，如果你在性生活后吸烟，那么你做得太快了。
27,妻子：知道我当初为什么要嫁给你吗？ 丈夫：为什么？ 妻子：因为那时我的年龄不小了，朋友们总在劝我应该结婚了。老这样不主动，难道还打算坐在家里等你的丈夫从天上掉下来吗？ 丈夫：怪不得我那次跳伞落在你家，你对我那么好！
28,世界每天都变得更好，然后在晚上又变得更糟。
29,妈妈生弟弟了，小琪很高兴地赶到医院去探视，当他隔着玻璃看到一排排初生的娃娃时，满脸不高兴地说：我只跟妈妈要一个弟弟，她一下子生那么多做什么？
30,那些没有时间锻炼的人将不得不抽出时间生病。
31,小明和小强是好朋友，一日，他们去策智商，小明先把脑袋伸进了测量器，策出的结果是良好。这使小强也把脑袋伸进了测量器，之见测量器上的红灯亮了，显示器上打出了一行字请不要拿石头开玩笑。小明？？？？？？？？？？？？？？？ 小强！！！！！！！！！！！！！！
32,一只年轻的母老虎悄悄地来到狗窝，极为和气地说：“狗妈妈，你能借我一只小狗吗？” 狗妈妈说：“老虎借狗玩，有借会没还。” 母老虎说：“会还你幼狗，我不是吃掉它，而是想请它吃我的奶，我的幼子死了，奶头胀得痛啊。” 母狗说：“我就担心小狗吃了你的奶会丧失狗性，小狗会有奶便是娘。”
33,我们家到底谁说了算？！受气的丈夫终于鼓起勇气大吼一声。 我，妻子平静地答道，怎么啦？
34,鲁西契卡先生和朋友诺瓦克一杯又一杯地喝着烈酒，鲁西契卡深深地叹了一口气说：“你看，诺瓦克，生活里的变化真是奇妙无穷，过去呀，谁要是找对象，就得找好几年，而住宅呢，半小时内就找得到，现在是半小时内就能找到对象，等住宅却要等无数年。”
35,早上她开门，看见楼上帅哥家的猫咪伏在外面，脖子上挂着一个牌子：主人出差，能收留我几天么？ ­她笑笑，抱起猫儿进了屋子。­而后那只猫咪都会可怜兮兮地出现，理由同上。 ­这天，她听到敲门声，开门，却看见那个帅哥眨着桃花眼道：­猫出差了，能收留我么？
36,在一间大学的哲学系期考时，他们教授出了什么是勇气的申论题。一位学生在考卷上写这就是就交了……结果得到一个ａ……
37,当你犯了一个错误时，你是个白痴，当你的老板弄错了，他只是人类......
38,一次考试，交卷后，身旁一老兄，文质彬彬，一伸懒腰，不紧不慢地说：“考得不错，一个没落都写出来了，就是时间不太够，没往答题卡上涂。”
39,爸妈吵架，我爸气的说了句：”我给你滚出去！”
40,没有人总是傻瓜，但有时候所有人都是傻瓜。
41,某人请客，客人刚刚擎起酒杯便放声大哭，主人慌忙问道：为啥悲伤？ 客人答道：我生平好酒，如今酒已经死了，因此大哭。 主人笑道：酒怎会死？ 答道：既然不曾死，为啥杯里没有一些酒气？
42,婚姻是大自然阻止人们与陌生人战斗的方式。
43,考虑改变自己有多难，你会明白你试图改变别人的可能性很小。
44,杨相熬了两年相公，出了不少洋相，掌柜不想用他了。年底给他算清了身钱，对他说：杨相，我这里庙小，供不起你这大仙。我看你还是另投高门吧！掌柜一说完，杨相就抢着说：掌柜，我求不下高门，我也不嫌庙小。你嫌庙小，你走吧！掌柜无奈，干脆直说吧：杨相，我这条河里水浅，浮不起你这大鱼。你还是找个水深的地方吧！杨相急忙说：掌柜，你这河里水不浅。能浮起你这老鳖，还浮不起咱这条小鱼？
45,一天早上。动物园长陪他发胖的老婆去跑步。被市长看见了。第二天，动物园长就被开除了。动物园长不服气，就找人去问是什么原因。 市长说；作为一个动物园长。上街跑步是好的。但是他不应该随便把池里的河马带出来一起跑。
46,让生活变得艰难的不只是跌宕起伏。这是混蛋。
47,一个矮子走进马戏团经理办公室，说：我可以在您的那些台里表演很多杂技。 真的？您有哪些本事呢？ 比方说，我可以吞下一把一米长的马刀。 马戏团的演员大部分都能这样做。 是的，不过要知道，我的身高只要93厘米。
48,儿子随妈妈去乡下外婆家，看到外婆家的猪嘴角挂满沫，儿子奇怪地问：“妈妈，怎么那猪刷完牙不洗脸呀？”
49,老板发现某些工人的工作效率很低，就在人口处贴了一则公告：“你，是来帮忙解决问题的呢，还是成为问题的一部分？”
50,今天中午去吃饭，想吃土豆粉。 就到了一家刚开张的土豆粉店。 店里的妹子：“先生你吃什么呢” 我：“来份酸辣土豆粉” 店里的妹子：“要什么味的” 我想逗逗妹子说：“爱的味道” 店里的妹子回头对厨房叫了一声：“重口味的加酸，加辣” 等土豆粉上来以后，我吃了两口。在也吃不进去了 我说妹子啊 你是不是感情受过伤啊！
51,阿凡提买了一只香喷喷的烤鸡，提到一家茶馆里津津有味地吃起来。一个好吃懒惰的人凑过来，向他施了一个重礼，说道：阿凡提，祝您胃口好，看上去这只烤鸡真香呀！请把烤鸡的左腿伸过来，试一试我的牙齿利不利？ 噢，朋友，假如这只烤鸡是属于我的话，别说是一只左腿，那怕是全部我都愿意奉献给您品尝的，可惜它不是我的。阿凡提说道。 如果它不是您的，您为什么要吃它呢？好吃懒惰的人奇怪地问道。 对呀，它是不属于我的，它是属于我肚子的！阿凡提把烤鸡吃完后回答说。
52,老师：许多人对鲸鱼都有一种畏惧感，实际上，鲸鱼虽然体积庞大，但咽喉却非常狭小，所以鲸鱼基本上不可能吞食人类…… 学生：不对！听说镇里的乔恩就是被鲸鱼吃掉的。 老师：是吗？不可能，鲸鱼的咽喉非常狭小。 学生：那等我死后去天堂亲自问乔恩。 老师：万一乔恩去的是地狱怎么办？ 学生：那你亲自去问。
53,作为一个女人很难，因为它主要是与男人打交道。
54,在接受采访时，明智的老王所罗门被问到为什么他有1000个妻子。
55,第一个说：我来监狱时，火车还没有发明呢！ 第二个说：我来时，人们还是骑马旅行哩。 第三个问：马是什么东西？
56,院长对一精神病患说：这次你救了一位落水的人，表现很好，不幸的是他又上吊自杀了。 精神病人很得意地说：是我把他挂起来晾的！
57,司机：「嫌我车开不好。真是岂有此理！我干这行已经十年啦。乘客们从没说过一句对我不满的话！」 客人：「是吗？请问你开什么车？」 司机：「灵车！」
58,在监狱.......你有良好的行为时间。
59,美国第九届总统威廉·亨利·哈里逊出生在一个小镇上。他是一个又文静又怕羞的孩子，人们都把他看做是傻瓜。 镇上的人常常喜欢捉弄他。他们经常把一枚五分的硬币和一枚一角的硬币扔在他面前，让他任意捡一个。威廉总是捡那个五分的，于是大家都嘲笑他。 有一天，一位妇人看到他很可怜，便对他说：威廉，难道你不知道一角要比五分值钱吗？ 当然知道，威廉慢条斯理地说，不过，如果我捡了那个一角的，恐怕他们就再也没有兴趣扔钱给我了。
60,一小朋友刚练习写自己的名字，老师在课上念道：弓 长 月 月。咱们班还有日本人？
61,在火车洗脸间给手机充电，人靠在墙上发呆手机连着线放在口袋里。 一个来上厕所小男孩儿回头对他妈妈说：快看，机器人充电呢
62,丈夫：我想投保意外险，你说好不好？ 妻子：当然好哇！以后你出门我就不必叫你要小心啦！
63,泼水节上，大家彼此泼水祝福，忽听一人骂道：妈的，谁泼我？旁人劝道：泼你是祝福你。骂人者道：少来这套，谁刚才拿开水泼我来着？
64,一群动物冲进24小时便利商店买东西。 因为太吵，都被店员打了出来。但是只有一只动物没挨打。 那是什么呢？羊。因为24小时便利店不打烊。
65,路上两车不幸追尾，前面车的青年问后面车的青年：“哥们儿，不好意思，请问你是姓药么？” “不是。” “那你爸姓李？” “不姓。” “哦，你家人有做公务员的么？” “没。” “直系亲属呢？” “也没有。” “哦，那你会弹钢琴吗？” “不会” “既然这样儿……你丫赔我钱吧，这可是爷刚买的新车……
66,甲：我老婆是个天使。 乙：我老婆还活着！
67,阿凡提想结婚，但不知道结婚有哪些仪式，该如何进行。于是他问父亲，父亲说：你去找依麻目，他怎么说，你怎么做就行了。 阿凡提找到了依麻目，依麻目问他：兄弟，有什么事吗？ 兄弟，有什么事吗？阿凡提学着问。 喂，你怎么这样回答我的问题？依麻目说。 喂，你怎么这样回答我的问题？阿凡提还是学他。 你疯了吗，阿凡提？依麻目怒斥道。 你疯了吗，依麻目？阿凡提学他问道。 依麻目还以为阿凡提在愚弄他，怒不可遏地举起手狠狠地打了阿凡提一巴掌。阿凡提也愤怒地还了依麻目一记耳光。于是，二人扭打起来。 当阿凡提垂头丧气地回到家时，父亲急忙问：孩子，你学会结婚了吗？ 如果结婚是你骂我，我骂你，你打我，我打你的话，我已经领教了，我不敢结婚了。阿凡提摇晃着脑袋说。
68,三名男子同时登门求亲，待嫁女子的父亲对他们说：我只能让女儿嫁给你们当中的一位，你们可以各自说出你们的优势。 男甲：我有几十万家产。 男乙：我有一栋豪宅。 男丙：我有一个孩子，现在在你女儿的肚中。
69,外科医生拿着一个花环走进手术室，患者问：“这些花是做什么用的？” 外科医生答：“手术成功，这些花就会献给我；不成功，就会献给你。”
70,有个人叫翟永龄，好逃学，好长时间不到学校去了。老师很生气，罚他作文，出的作文题是牛何之。翟不假思索，提笔就写，一会儿就写好了。 其文章结语说：按‘何之二字，在《孟子》一书中出现过两次，一次是‘先生将何之’，一次是‘牛何之’，如此说来，先生也就是牛，牛也就是先生，二而一，一而二，不过如此罢了。
71,某男逛街，发现马路边上有两张小广告， 一张是治疗不孕不育的，另一个是重金求子的。 男子一看心动，随即打电话问求子细节， 接电话的是女士说自己怎么怎么有钱老公不育。 男子很同情，于是把治疗不孕不育的电话告诉了对方。。。
72,关羽刮骨疗伤的故事天下皆知，这次不慎再中毒箭，又要挑筋动骨。 军医问：“将军是否依旧靠下棋分神？” 关羽答：“纸笔伺候，我要画幅《赤兔》” 军医惊叹：“想不到将军与赤兔之情已比麻药之效！” 关羽大笑：“你没听过马化疼吗？”
73,昨天俺充电话费充错手机号了，因为充了100有点心疼，就给那个哥们打了过去，说能不能给我充回来～ 结果那哥们特郁闷的说：兄弟，年底了，全是要帐的，我好不容易停机了，你又给我充上了。
74,刚10086给我打电话。 问：“先生，我看您近来的手机话费上下幅度很大， 是异地出差长途还是别的原因？ ” 答：“被甩了。。。” 客服MM憋不住笑了！她笑了！！！
75,一架载着200多名乘客的飞机平稳地飞行在高空。这时，广播室里传来一个愉快的声音：女士们，先生们，我是你们的机长，欢迎大家乘坐我们的航班，我想告诉大家的是----啊!天呐!他发出这声恐怖的叫声后，广播里就没有声音了。 所有的乘客都吓坏了，面面想觑，连空中小姐们也害怕得说不出话来。 过了一会儿，广播终于又响了，还是机长：女士们，先生们，对不起，刚才让大家受惊了。这里确实发生了一个小小的意外，但不是飞机的问题，乘务员给我咖啡的时候，不小心把咖啡洒到我的衣服上。不信你们可以来看我的衬衣，都湿透了! 这时，机舱里响起一个乘客怒气冲天的抱怨声:衬衣湿了算什么?看看我的裤子吧!
76,爸爸责怪儿子不听自己的话，爸爸说：“你一回家，就跟我说我老师说什么说什么，老师的话，你就听。” 儿子说：“老师的话，有双引号圈住，不会跑掉，当然容易听进去耳朵里。” 爸爸说：“难到我的话没有双引号吗？” 儿子说：“你经常把双引号顺序弄反了，没有把自己的话圈住，我哪里听得进去。”
77,顾客：你搞入户推销的成功经验是什么? 推销员：每个家庭主妇开门后，我的第一句话是：小姑娘，你妈妈在家吗?
78,浩儿长到了七岁。一天，很不服气地说：为什么你们总叫我晚上一人睡？ 妈妈：你已经是我们家的小大人！ 浩讲：爸爸也是大人，怎么还跟你睡？ 我们是结婚了的，就得一起睡。妈妈回答到。 浩想想说：妈妈，我也跟你结婚。
79,有一天，我和朋友一起去上超市买东西，因为他喜欢吃方便面的原因。 他一进超市就去了方便面专区，而我因为还要买别的东西，就没有跟着去。 过了一会，我正在看货，突然我的朋友大叫一声；“哈哈哈，小明，快来，我们这一次终于可以长生不老了。” 我一听，感到莫名其妙，于是就走了过去问他怎么回事。 只见他指着货架说到；你自己看。 我一看，立马昏了，只见货架上面摆着一排方便面，名字就叫；“唐僧肉”。 奶奶的，真是太坑爹了！！！！！！！
80,丈夫和妻子买了几注福彩。 丈夫自言自语说：“如果中个500万就好了。” 妻子说：“如果中个500万，我立马给你100万……” 丈夫大喜：“那太谢谢老婆了，有了100万我可就能随心所欲了。” 妻子说：“给你100万是去交税的……”
81,某一夫妇金婚三十年，举行了庆祝。 这时，一个仙女来到他们身边，对他们说：你们金婚三十年，我将为你每人实现一个愿望。 于是妻子许愿，要一个钻石戒指，马上她的手上就有了一个戒指。 丈夫见了，就对仙女说：我想要一个比我年青三十岁的妻子。 于是仙女手一指，那个丈夫就老了三十岁……
82,一对同年同月同日生的老夫妇共同生活了35年。 今天，他们大摆宴席，庆贺他们的60岁大寿。宴席过程中，上帝来了。上帝称赞老夫妇是真正的“恩爱夫妇”，并答应给他们每人一个愿望。 老太太激动地说：“我们很贫穷，我只想想好好看看这个世界，做一次全球旅游。” 上帝挥了一下手，砰的一声，一打儿飞机票从空中落入老太太的手上。 该老头儿许愿了，只见他沉思了一会儿，说道：“我想娶一个比我年轻30岁的女人。” 上帝又了一下手，砰！…… 老头儿一下子变成了90岁。
83,我是银行出纳员。那是一个很棒的工作。我每周带回家45万美元。
84,俺老妈打电话过来说：“儿子啊，你几点出生的， 我在庙会呢，，算算你啥时候能结婚。” 我亲妈啊，我哪知道我几点出来的~~
85,当年找工作时，主考官问我哪年毕业的。 我本来是要说 2000 年的，结果一激动说：“ 两千年前…… ” 更瀑汗的是，主考官竟然噢了一声，说：“ 孔子的学生吧。 ”
86,老妈回来看见满地的蛋壳，就大声喊道：“有个鸡蛋裸奔啦。”
87,对不起，我没有在我的物种之外约会。
88,昨晚和新交女友去吃饭，吃到一半突然发现忘了带钱包，想了一下实在没办法，只好向女友开口。因为实在是不好意思所以脸红了，说话也吞吞吐吐：我…… 这时意想不到的事情发生了，她竟然会错意，也涨红了脸，说：我也爱你……
89,我们有引力是一件好事，否则当鸟儿死亡时，它们会一直停留在那里。猎人会很困惑。
90,有一天，我和家人坐着面包车去县城，在经过一个写着“种羊”两个字的广告牌时，我姐突然问了一句“羊是种出来的么？”
91,一个人在酒店喝酒喝醉了，不小心从二楼的窗户边掉了下来，引来了很多路人围观，一个警察过来问：发生什么事了？ 那个喝醉的人回答道：不晓的，我也是刚到的！
92,男乙：看来她已经知道了！ 男甲：知道什么？ 男乙：她肯定是偷看了医院的化验单！ 男甲：什么化验单？ 男乙：今天我到医院，检查出得了花柳病！ 男甲慌忙走了。 男乙：小样儿！想抢我的女朋友，没门儿！
93,暑假，我闲着没事，就把两个小侄子接到家里来玩儿。 一天晚饭后，大家坐在一起看电视。很快，电视机上出现男女接吻的画面，只见两个五六岁的小侄子忙把头扭到一旁，齐声说：少儿不宜！ 过了一会儿，电视中又出现了这类画面，他俩无可奈何地长叹一声：唉，又是少儿不宜！我觉得很有趣，就问他们这是谁教的？十四岁的女儿连忙得意地表白：当然是我指导有方了！ 此后几天我发现，只要电视中一出现亲吻的画面，两个小家伙就乖乖地回避，并大声说少儿不宜，看来女儿所言不虚啊！ 快开学了，我弟来接他们回家，我把两个小家伙儿送到楼下，十分疼爱地亲了亲他们的小脸蛋，不料他俩扭了扭头，认真地说：姑姑，少儿不宜啊！
94,一天去幼儿园采访，看见一个班的窗前放着一个金鱼缸，里面只有一些水草，便问到，咦！里面的金鱼呢？ 噢！前两天，刚死掉老师说。 他是淹死的！身旁一个小朋友，见我满脸疑惑状，迫不急待的解释道。
95,今天，弟弟拿了小学二年级的题目问我， 我扫了一眼：“帮我去倒杯水。” 然后飞快的百度一下， 现在数学太可怕了！
96,坐公交听到一低年级女生问一个低年级男生：“你到底爱不爱我？” 那男生无奈道：“我妈一天给我3元钱，其中两块五都让你拿去买零食了，你说我爱不爱你！”
97,麻雀与鸵鸟恋爱了，一天麻雀要对鸵鸟说句心里话，不得不说：亲爱的，你能躺下说话么？
98,美国影歌双栖女明星卡罗尔·钱宁（1921年出生）早年在夜总会卖过唱。作为表演节目的一项内容，有时候卡罗尔小姐即兴回答一些听众提出的有关她的私生活的问题。 有一次，一位男士问她：你记得使你十分窘迫的时候吗？ 是的，记得。卡罗尔回答道：下一个问题呢？
99,今天老师把男女各分一组，玩“你划我猜”这个游戏， 轮到女生们猜了，糖糖为了不为难她们，写了“电影院”三个字。 糖糖还在下面提示说：情侣最常去的地方。 只听见上面女生一致的说出“旅店”。
100,一个打铁为生的老人无儿无女，只是收了三个徒弟。 老人家一天天老去，身体也出现了各种病疼，但是三个徒弟谁都不愿去照顾他。有一天，老人家把三个徒弟叫到床前对他们说:“在我百年之前，你们谁孝敬我多一点我就把我最后一个绝招教给谁。” 三个徒弟听完后纷纷对老人家问冷问热杀鸡宰羊，没过多久，老人家感觉自己就要离开人世了，于是把三个徒弟都叫到自己床前对他们说“我快走了，我那最后一个绝招我要给你们说。” 徒弟们都激动地看着老人家那无力的眼神，只听见那老人家说：“铁烧的通红了，你千万别用手拿……”
101,妈妈，我肚子痛。五岁的米佳说。 那是因为你还没吃午餐，肚子是空的。妈妈答道。 那天下午，米佳到他的邻居家玩，看到邻居躺在床上，原来他的邻居病了，头痛得厉害。那是因为你脑袋是空的，米佳说：你放些东西进去就不痛了。
102,当你给忙着女生送花的时候，丑男在学习； 当你忙着给女生跑腿的时候，丑男在学习； 当你们第一次出去过夜的时候，丑男在学习； 当你频繁换女朋友的时候，丑男还在努力学习！ 丑男想得很单纯：既然你把我未来老婆泡了，也就别怪我未来泡你闺女了。
103,某日，和宿舍哥们去牛肉店开荤。席间，“咯嘣”一声，哥们突然咬到一粒不大不小的沙子。哥们爆怒，马上唤来服务员。 哥们：“老板给我过来，太不像话了” 我：“算了，没必要闹事了……”话还没说完，老板已经到了 哥们：“以后沙子给煮烂一点……”
104,坐快速大巴回家，空调开的很高，车又平稳快捷，所以非常舒适，满车的红男绿女都疲惫地倒在座位上。昏昏然中，大家被一记超级毒辣闷臭屁熏醒了；大伙先是紧皱眉头，很快有人拼命捂住口鼻，当臭屁浓度越来越高时，大伙开始骚动，并恶狠狠地相互对望！有人试图开窗户透气，才绝望地发现完全是徒劳的，因为车窗是密闭的……每个人都在挑战耐受极限，终于有个学生憋不住了，大喊：“停车！偶要下去！” 司机说：“高速路，不能停！” 那学生又喊：“求你，偶真憋不住了！” 司机依旧不理睬。 终于，那学生大吼一声：“那就怨不得偶了，偶要来一个响的啦！”
105,孔明：“三日前，我吩咐你造的二十只草船是否布置妥当？” 鲁肃：“先生放心，早已完毕。瞧，这船皆是当下最前卫的敞篷款。”
106,话说唐憎再去上西天取经，唐憎问徒弟：“什么东西上西天最快？” 悟空说：“飞机。” 八戒说：“火箭。” 沙憎拿出一支枪说：“听说这玩意可以立刻令人上西天。”
107,小明和小刚的爸爸是个篮球裁判员。 一天，哥儿俩在家中玩皮球，小明不小心，把爸爸的茶杯打碎了。爸爸举手就打，小刚马上吹起了哨子：打人犯规！ 爸爸愕然。
108,某市长东窗事发，家中一大保险柜久不能开。 一识货官员说：此乃声控锁，密码多用八个字。 于是办案人员召集大家轮流猜试 : “芝麻开门，芝麻开门” “上天保佑，升官发财”; ……但均不灵！无奈，押市长至此。 他清清嗓子，正色道：“清正廉洁，一心为民！” 柜门应声而开，满柜金银珠宝惊呆众人!
109,啤酒证明上帝爱我们，希望我们快乐。
110,潘长江女儿潘阳大婚，女婿武石磊身家上亿。 神评论：恭贺潘家武家再次喜结连理。
111,一男青年将被征入伍，军队医院眼科医生给他做视力检查，青年边接受检查边表白自己是个近视眼。 检查完毕，大夫说：是的，你说得对，是近视眼。 青年听到这句话非常高兴。尊敬的大夫，那么我可以免服兵役了？ 大夫摇摇头说：不……我写上了可参加肉搏战。
