,id,joke,transform_joke,label
52,52,上帝并没有告诉我们一切，只是我们需要知道的一切。,上帝不会告诉我们一切，只是我们需要知道的一切。,0
53,53,一位客人鼓励她说：“不要紧，你妈妈平常说什么，你就照着什么说好了。” 女儿于是尖声地说：“老天！我为什么要请客？我们家的钱都流到哪儿去了？”,其中一位客人鼓励她说：“别介意，你妈妈通常说的话，你就跟着说吧。”然后女儿尖叫着说：“上帝！我为什么要治疗？我们所有的钱都去哪儿了？”,1
54,54,傍晚，一对初恋青年男女相约去电影院。 姑娘：你最喜欢看什么影片？ 小伙子：《姑娘望着我》，你呢？ 姑娘：《南洋富翁》。,晚上，一对初恋男女相约去看电影。女孩：你最喜欢的电影是什么？男孩：女孩看着我。你呢？女孩：南阳百万富翁。,1
55,55,我从不在午餐时喝咖啡。我发现它让我在下午保持清醒。,我午饭从不喝咖啡。我发现它让我下午睡不着觉。,1
56,56,上帝肯定会原谅我的，因为那是他的职业。,上帝一定会原谅我的，因为那是他的职业。,1
57,57,看见诸葛亮的草船曹冲不慌不忙算出了诸葛亮的体重。,曹冲看见了诸葛亮的草船，急忙算了一下诸葛亮的体重。,1
58,58,上次去麦当劳，对营业员说：来一包薯片，人家说没有。我说，什么店啊连薯片都没有，说完转身就走了。,上次我去麦当劳，我对售货员说：一袋薯片，他们说没有。我说，哪家店连薯片都没有，然后转身就走了。,1
59,59,亲爱的：我正在扣我的衬衫。现在我穿上鞋子。,亲爱的：我在扣衬衫的扣子。现在我穿上鞋子。,0
60,60,成功：你所做的事情永无止境地改善。,成功：你所做的是永无止境的进步。,0
61,61,"鄙视我的人那么多,你算老几?",有那么多人鄙视我，你多大了？,1
62,62,什么是世界上最安静的地方？降落伞包装厂的投诉部门。,世界上最安静的地方是什么？降落伞包装厂投诉部。,1
63,63,老天，你让夏天和冬天同房了吧？生出这鬼天气!,天啊，你让夏天和冬天睡在一起了吗？多糟糕的天气！,1
64,64,某男学习普通话，他平舌和翘舌分不清，结果被培训老师指了出来你翘错地方了（指舌头）。于是引来一堂哄笑。,当一个人学习普通话时，他无法区分扁平和弯曲的舌头。结果，教练指出你的舌头扭曲了。所以大家都笑了。,1
65,65,小朋友谈恋爱。 男孩:我爱你愿意和我一起看月亮吗? 女孩:有糖我就去.,孩子们坠入爱河。男孩：我爱你。你愿意和我一起看月亮吗？女孩：我要加糖。,1
66,66,假的婴儿奶粉还没有草有营养，当初还不如吃草了！,假婴幼儿奶粉还没有草的营养，最好一开始就吃草！,1
67,67,一个美丽的人和一个老人住在这里。,这里住着一个漂亮的男人和一个老人。,0
68,68,成功是相对的 - 成功越多，亲戚就越多。,成功是相对的——越成功，越有亲戚。,1
69,69,你也算是变态界的一朵奇葩。,你也是异常世界里的一朵奇葩。,1
70,70,怪不得植物人普遍四肢发达，摸不到头脑。,难怪植物人一般四肢发达，摸不到大脑。,1
71,71,当你和白痴争吵时，要确保对方没有做同样的事情。,当你和一个白痴争论时，要确保对方不会做同样的事情。,0
72,72,温妮和我住在一个静电的房子里。如果你想运行搅拌机，你必须在头上擦气球。如果你想做饭，你必须快速脱掉一件毛衣。,我和温妮住在有静电的房子里。如果你想运行混合器，你必须擦拭你头上的气球。如果你想做饭，你必须迅速脱下一件毛衣。,1
73,73,在许多旅程开始时目的地是未知的。,在许多旅程的开始，目的地是未知的。,0
74,74,幸福是在另一个城市拥有一个庞大，充满爱心，关怀，亲密的家庭......,幸福是在另一个城市有一个大的，有爱的，有爱心的，亲密的家庭…,0
75,75,乡村小学的一个学生迟到，他向老师解释说：我今天早晨要把一头猪送去配种。 老师问：这事你爸爸不能做吗？ 不行，一定要公猪才行。,村小学的一个学生迟到了。他对老师解释说：“我今天早上要送一头猪去种猪。”老师：你爸爸不能这样做吗？不，一定是野猪。,1
76,76,这天我买了件新衣服，想臭美一下，便问两岁半的儿子：“宝贝，妈妈漂亮不？” 儿子答曰：“妈妈不漂亮，奶奶漂亮！”,那天我买了一件新衣服，想闻一闻。我问我两岁半的儿子：“宝贝，妈妈漂亮吗？”儿子回答说：“我妈妈不漂亮，我奶奶很漂亮！”,1
77,77,万恶的新社会啊，为什么你就没有包办婚姻了？,你为什么不在一个充满邪恶的新社会里包办婚姻呢？,1
78,78,当我可以花费时间来担心未来时，为什么要浪费时间重温过去呢？,当我可以花时间担心未来的时候，为什么还要浪费时间重温过去呢？,1
79,79,不要把它想象成潮热。把它想象成你内心的孩子在玩火柴。,别把它看作是昙花一现。把它想象成你内心的孩子在玩火柴。,0
80,80,神经衰弱的第一个迹象是，当你开始认为你的工作非常重要时。,神经衰弱的第一个症状是你开始认为你的工作很重要。,0
81,81,不要让这么多现实进入你的生活，因为没有空间留给梦想。,不要让那么多的现实进入你的生活，因为没有梦想的空间。,0
82,82,女：你每一样东西都比不上任何人！ 男：对，尤其是女朋友！,女人：你不能把每件事都和任何人比！男：是的，尤其是我女朋友！,1
83,83,不要迷恋姐，姐卸了妆要你吐血。,别迷恋你妹妹。她脱了妆让你吐血。,1
84,84,一对送葬的队伍抬着一个棺材，路边乞丐的儿子问：爸爸，他们去哪里呢？乞丐说：去一个黑暗的地方，没有吃，没有喝。乞丐的儿子说：那不是我们住的地方吗？,几个送葬队伍抬着一具棺材。一个路边乞丐的儿子问：“爸爸，他们要去哪里？”乞丐说：“到一个黑暗的地方去，不要吃喝。”乞丐的儿子说：“我们不是住在那里吗？”,1
85,85,永远不要认为战争，无论多么必要，也不合理，都不是犯罪。,永远不要认为战争，无论多么必要或不合理，都不是犯罪。,0
86,86,大学是一个年轻人在服从母亲和屈服于妻子之间的自由的明显插曲。,大学是年轻人向母亲和妻子屈服的自由之间的一段明显的插曲。,0
87,87,你主人买的药怎能同我的比呢？鼠妈妈不紧不慢地说：我是从市第一医院的院长家里拿来的嘛。,你主人买的药怎么能和我的相比呢？老鼠妈妈慢吞吞地说：我是从市第一医院院长家拿来的。,1
88,88,你独特的团队夹克展示了战斗补丁和徽章。,你独特的队服上有战斗补丁和徽章。,0
89,89,妻子对退休的定义：丈夫支付的两倍多。,妻子对退休的定义：丈夫付两倍以上的钱。,1
90,90,如果我错了，请拧我，但我们之前见过面吗？,如果我错了，请跟我说，但我们以前见过面吗？,0
91,91,朋友开一饭店，最大的特色是：服务员态度恶劣。 劝朋友：“得管管了。” 朋友：“不敢管，说句重话就都不干了。小蜜好找，服务员难招！”,朋友开餐馆，最大的特点是：服务员态度不好。劝说朋友：“你要好好照顾它。”朋友：“不敢忽视，说一句重的话也不行。小米很容易找到，但服务员很难招到！第二、第二、第二、第二章,1
92,92,有人问一位科学家：“你试验一种新型电池总是失败，为什么还要继续试验？” 科学家回答：“失败？我从来没有失败过，我现在已经知道了5万种不能制造这种电池的方法。”,一位科学家被问到：“你总是不能测试一种新型电池。为什么还要继续测试呢？”科学家回答说：“失败？我从来没有失败过。我学会了五万种制造这种电池的方法。,1
93,93,职员：“经理，你们的会开了这么久，做出什么决定了？” 经理：“是啊，我们决定下周再开一次会，讨论一下年会什么时候开。”,职员：经理，经过这么长时间的会议，你做了什么决定？经理：“是的，我们决定下周再开一次会，讨论年会什么时候开。”,1
94,94,在他们所有的东西都没有从阁楼里出来之前，巢不是空的。,直到他们所有的东西都从阁楼里出来，鸟巢才空空如也。,0
95,95,如果一开始你没有成功，你会从那些没有成功的人那里得到很多免费的建议。,如果你一开始没有成功，你会从那些没有成功的人那里得到很多免费的建议。,0
96,96,我敢打赌住在一个裸体殖民地，可以带走万圣节的乐趣。,我敢打赌，住在一个裸体殖民地可以带走万圣节的乐趣。,0
97,97,如果它不是残酷和不寻常的，那不是惩罚。,如果不是残忍和不寻常，那就不是惩罚。,0
98,98,成名：主要是在正确的时刻死亡的问题。,名望：是关于在正确的时间死去。,0
99,99,尽可能保持尖端的前进始终是一个好主意。,尽可能保持领先总是个好主意。,0
100,100,当你最终购买足够的内存时，你将没有足够的磁盘空间。,当你终于买了足够的内存，你将没有足够的磁盘空间。,1
101,101,我给了儿子一个提示。在他的房间门口，我竖起了一个牌子：“结账时间是18”,我给了我儿子一个暗示。在他房间的门口，我挂了一个牌子：“退房时间是18点。”,0
102,102,人类的大脑是一件美妙的事情。它会在你出生的那一刻开始工作，直到你站起来在公共场合说话才会停止。,人类的大脑是一个奇妙的东西。它会在你出生的那一刻开始工作，直到你站起来在公共场合讲话时才会停止。,0
103,103,你可以每个月提交尽可能多的笑话。,你可以每月提交尽可能多的笑话。,0
104,104,一女生跟男朋友分手了，旁边她同学安慰她：“那男的有什么好，土木工程的，一听就知道又“土”又“木”的！” 旁边软件工程的男同学一听，心都凉了半截…,一个女孩和她的男朋友分手了，她的同学安慰她：“那个男人有什么好处？土木工程，你一听到，就会知道是“土”和“木”！_____旁边的软件工程男同学听着，心里半凉。,1
105,105,清晨，阳光刺到了正在酣睡中的儿子的脸上。儿子不耐烦地喊道：关灯！ 妈妈答道：这哪是灯呀？这是太阳。儿子又咆哮起来：关太阳。,清晨，阳光刺穿了熟睡的儿子的脸。儿子不耐烦地喊道：关灯！妈妈回答：这是哪盏灯？这是太阳。儿子又吼起来：关上太阳。,1
106,106,恩格斯说，男人爱女人的自然属性，女人爱男人的社会属性。,恩格斯说，男人爱女人的自然属性，女人爱男人的社会属性。,1
107,107,他说：“你让我想起一个胡椒罐”，我说“我会把它作为一种调味品”。,他说，“你让我想起一个胡椒罐，”我说，“我要把它当作调味品。,0
108,108,她在最后一次手术后走出医院，立即被救护车撞倒。,上次手术后她离开了医院，立即被救护车撞倒。,1
109,109,我可以理解为什么禁止将大部分东西从帝国大厦的顶部扔掉，但是一点点的奶酪有什么问题？他们甚至可能在击中前分解成各种气体。,我能理解为什么禁止把大部分东西从帝国大厦顶上扔下来，但是一点奶酪怎么了？它们甚至可能在撞击前分解成气体。,0
110,110,在海滩上租房子之前，你永远不会知道有多少朋友。,在海滩上租房子之前，你永远不知道你有多少朋友。,1
111,111,这地球少了谁都照样转，就是少了我会反着转。,如果地球不见了，每个人都会转向同一个方向，但如果地球不见了，我会转向另一个方向。,1
112,112,没心没肺没感觉，没情没爱没顾虑。,没有心，没有肺，没有感觉，没有爱，没有担心。,1
113,113,爱情，就像油漆一样，可以在你展开时使美丽变得美丽，但是当你不使用它时它会干涸。,爱，就像油漆，当你展开时能使美变得美丽，但当你不使用它时，它会变干。,0
114,114,有时你是鸟，有时你是挡风玻璃。,有时你是一只鸟，有时你是一块挡风玻璃。,1
115,115,定义：数学芯片 - 一块破碎的算盘。,定义：数学芯片-一个坏算盘。,1
116,116,贪吃没什么不对，只要你不过分。,贪婪没有错，只要你不过分。,1
117,117,在大多数情况下，所有论证都证明有两个人在场。,在大多数情况下，所有的争论都证明有两个人在场。,0
118,118,我喜欢石头！这些年来，我无法相信他们仍然在做这件事。弗雷德和巴尼，我随时随地都能看到他们。,我喜欢石头！这么多年来，我真不敢相信他们还在这么做。弗雷德和巴尼，我可以随时随地看到他们。,0
119,119,为什么男人一见钟情？它为他们节省了大量时间。,为什么男人一见钟情？这节省了他们很多时间。,1
120,120,不知道怎么搞的最近总是失眠，16小时就醒一次。,我不知道怎么做。我最近总是失眠。我每16小时醒来一次。,1
121,121,你怎么翻倍平托的价值？装满油箱。,你怎么能把平托的价值翻一番？把油箱加满。,0
122,122,你觉得横着还是竖着死帅一些？哥可以成全你！,你觉得它是水平的还是垂直的更帅？兄弟可以帮你！,1
123,123,现在的女生太不害臊了，老是偷瞄我，搞得我都不好意思监考了。,现在姑娘们太惭愧了，老是偷看我，所以我不好意思监考。,1
124,124,毫无疑问，所有女性都疯了。这只是一个学位问题。,毫无疑问，所有的女人都疯了。只是学位问题。,0
125,125,偶在家看世界杯时说：“偶喜欢托蒂！” 妈妈在旁边听见了说：“哼，说得好听，我怎么没见你拖！”,当我在家看世界杯时，我说：“我喜欢托蒂！”妈妈听到他说：“嗯，听起来不错。我怎么没看见你拖着呢！”,1
126,126,女人喜欢有安全感的男人；男人却往往被缺乏安全感的女人吸引。,女人喜欢有安全感的男人；男人往往被缺乏安全感的女人所吸引。,1
127,127,语文老师：“哪有‘半斤五两’这句成语？” 学生：“考数学时，我答半斤等于八两得了零分。” 语文老师：“记住，作文时不能用老秤。”,语文老师：“半斤，五两”这个成语在哪里？学生：我参加数学考试的时候，半公斤等于八两公斤，我得了零分。语文老师：“记住，你不能在作文中使用旧的音阶。”,1
128,128,老公去找工作回来跟老婆抱怨：“今天累死了，爬了18层楼！” 问他为什么不坐电梯，还以为电梯坏了。 结果老公愤恨地说：“电梯只到单数层下！”,丈夫去找工作，回来向妻子抱怨：“今天我累了，爬了18层楼！”问他为什么不乘电梯，以为电梯坏了。结果，丈夫气愤地说：“电梯只在一层下面开！”,1
129,129,我并非完全无用......我可以习惯于树立一个坏榜样。,我不是完全没用…我可以习惯树立一个坏榜样。,1
130,130,每当冲锋号响起，我就赶紧躲进壕沟里，因为：我是卧底！,每当听到指控的声音，我就迅速躲在战壕里，因为：我是卧底！,1
131,131,刺猬：近不得，远不得，有名的刺儿头，早被划入“剃头”之列。,刺猬：不近不远，著名的刺头，早就被列入“剃须”名单了。,1
132,132,为什么“回文”不是以同样的方式向后拼写？,为什么“回文”不能用同样的方式拼写？,0
133,133,如果我能说出将来会发生什么，我就不会出现。,如果我能知道将来会发生什么，我就不会出现。,0
134,134,如果美国母亲用小汤匙喂养婴儿，中国母亲会用什么 - 牙签？,如果美国妈妈用小勺子喂宝宝，中国妈妈会用什么——牙签？,1
135,135,一天，儿子用短信和妈妈聊天，突然他收到一条空白短信，很是奇怪，便发短信问妈妈这是什么意思。 妈妈回曰：“这表示我向你翻白眼。”,一天，我儿子正在和他妈妈通过短信聊天。突然，他收到一条空白短信。很奇怪。他给母亲发了一条短信，问她这是什么意思。妈妈回答说：“那意味着我对你翻白眼。”,1
136,136,如果它永远不会回来，那从来就不是你的。,如果它再也不回来了，就永远不是你的了。,0
137,137,高考的时候前座女生狐臭，特别严重，窗户在她那边，我坐她后面全程失智，根本没法呼吸。最后数学考砸了，到现在都恨她。,高考举行时，坐在前排的女孩身上有股狐臭。窗户在那边。我坐在她后面，失去了理智。我完全不能呼吸。最后，她数学考试不及格，现在恨她了。,1
138,138,楼下饭店门口有个屏风，写了四个大字：客如云来。 上星期路过，看到老板正站在屏风前问服务员:“今天生意咋样？” 服务员：“万里无云。”,楼下旅馆的入口处有一个屏风。它有四个大特点：客如浮云。上周路过，我看见老板站在屏幕前问服务员：“今天生意怎么样？”侍者：“万里无云。”,1
139,139,那些为之奋斗的人都知道自由的真正品味。,为自由而战的人知道自由的真正滋味。,1
140,140,阅读此内容时，您可以注意到最好的苏格兰口音。,当你读这篇文章时，你会注意到最好的苏格兰口音。,1
141,141,儿子考试回来说：“妈妈，我考了一百分你怎么奖励我啊？” 妈妈说：“奖励100元怎么样啊？” 儿子说：“我考了50分，你先奖赏我50元吧。”,儿子考试回来说：“妈妈，我考了100%的，你怎么奖励我？”妈妈说：“奖励100元怎么样？”儿子说：“我考试得了50分。你可以先奖励我50元。”,1
142,142,矛盾的道路标志：如果你已经不在家，那你就不住在这里。,矛盾的路标：如果你不在家，那么你就不住在这里。,1
143,143,小强的妻子是电脑迷。 小强：我的稿纸呢？ 妻子：在回收站里面。 小强：回收站在哪里？ 妻子：在桌面。 小强就一直在桌上找。,小强的妻子是个电脑迷。小强：我的报纸呢？妻子：在回收站。小强：回收站在哪里？妻子：在桌子上。小强一直在桌子上找。,1
144,144,只要你起床时从地板上捡起东西就摔倒了，这没关系。,不管你起起伏伏时，只要你从地上捡起什么东西。,0
145,145,"讨厌啦,不要问单身男人这种问题！",讨厌，不要问单身男人这样的问题！,1
146,146,牙疼得要命，连话都说不了，去药店拿药，指着自己的嘴巴啊了两声，示意老板给拿点治牙疼的药。 老板瞟了一眼说：“治哑巴的药我这儿没有。”,牙痛得厉害，我都说不出话来。我去药店买药。我指着自己的嘴，发出两个声音，表示老板会给我一些治牙痛的药。老板瞥了他一眼，说：“我没有治哑巴的药。”,1
147,147,她只是调酒师的女儿，但她知道如何抓住她。,她只是酒保的女儿，但她知道怎么抓住她。,0
148,148,小贤：我昨天帮家里的狗洗澡，结果……死了。 小力：洗澡？不可能吧？ 小贤：嗯，如果不是洗衣机要了它的命，那么就是烘衣机了。,小仙：我昨天帮我的狗洗澡了。因此。。。死了。小丽：洗澡？不可能的？小仙：好吧，如果不是洗衣机弄死的，那就是烘干机。,1
149,149,儿子：“爸爸，你喂过马吗？” 爸爸：“是呀，下放农村时喂过。” 儿子：“怪不得叔叔阿姨们说你最会拍马……”,儿子：爸爸，你喂马了吗？爸爸：是的，我在乡下吃的。儿子：“怪不得叔叔阿姨说你是最好的拍马人……”,1
150,150,科学的目标是建立一个更好的捕鼠器; 自然的目标是建立一个更好的老鼠。,科学的目标是建立一个更好的捕鼠器；自然的目标是建立一个更好的老鼠。,1
151,151,我上高中的时候和我弟弟一个班，他就坐在我后面。 一天晚上我们地理老师问我们：你们谁是姐姐？谁是弟弟？ 当时我就呆掉了！,当我和哥哥上高中时，他坐在我后面。一天晚上，地理老师问我们：你姐姐是谁？你弟弟是谁？我当时就死了！,1
152,152,指着成绩好的学生道：“你看，别人玩手机都不忘看书！”,他指着成绩好的学生说：“看，人们玩手机时不会忘记看书！”,1
153,153,有一天你会发现自己 - 并希望你没有。,总有一天你会发现自己-希望你不会。,0
154,154,一个大学男孩向一个老人家里送了一个披萨。,一个大学生送了一个比萨饼到一个老人家。,0
155,155,成为一名计算机程序员，再也不会看到这个世界。,成为一名计算机程序员，再也看不到这个世界了。,1
156,156,一个男孩对女孩说，我们一人出5毛，我们就一块了。 我们一人出6毛，我们就一块二了。 我们一人出7毛就 一块四（死）了。,一个男孩对女孩说：“如果我们每人给50美分，我们就在一起。”如果我们每人给6美分，我们就只有一两美分。我们要死7美分。,1
157,157,警察抓住一个小偷，并在其家中发现大量时装杂志。 警察十分不解地问：“你想做服装生意吗？” 小偷不好意思地说：“主要是看新款服装口袋在哪里。”,警察抓到一个小偷，在他家里发现了大量的时尚杂志。警察不解地问：“你想做服装生意吗？”小偷尴尬地说：“主要是新衣服的口袋在哪里。”,1
158,158,长张鞋垫脸，就别怪人踩着。,如果你有一个长的鞋垫脸，不要站在上面。,1
159,159,一天晚上，有三个人站在珍珠门前。,一天晚上，三个人站在珍珠门前。,0
160,160,有人向我挑战说：你放马过来。我不回话，只是疾弛而去，然后马后炮打倒他。,有人向我挑战说：“带着你的马来这里。”我没有回答，我只是飞走了，然后朝他背后开枪。,1
